module name	repository
atob@2.1.2	git://git.coolaj86.com/coolaj86/atob.js
JSONStream@1.3.5	https://github.com/dominictarr/JSONStream
path-is-inside@1.0.2	https://github.com/domenic/path-is-inside
opener@1.4.3	https://github.com/domenic/opener
json-schema@0.2.3	https://github.com/kriszyp/json-schema
aws-sign2@0.7.0	https://github.com/mikeal/aws-sign
caseless@0.12.0	https://github.com/mikeal/caseless
forever-agent@0.6.1	https://github.com/mikeal/forever-agent
oauth-sign@0.9.0	https://github.com/mikeal/oauth-sign
reflect-metadata@0.1.13	https://github.com/rbuckton/reflect-metadata
request@2.88.0	https://github.com/request/request
rxjs@6.4.0	https://github.com/reactivex/rxjs
spdx-correct@3.1.0	https://github.com/jslicense/spdx-correct.js
tslib@1.9.3	https://github.com/Microsoft/tslib
tunnel-agent@0.6.0	https://github.com/mikeal/tunnel-agent
validate-npm-package-license@3.0.4	https://github.com/kemitchell/validate-npm-package-license.js
@xtuc/long@4.2.2	https://github.com/dcodeIO/long.js
acorn-node@1.8.2	https://github.com/browserify/acorn-node
ansi-html@0.0.7	https://github.com/Tjatse/ansi-html
aria-query@3.0.0	https://github.com/A11yance/aria-query
axobject-query@2.0.2	https://github.com/A11yance/axobject-query
dexie@2.0.4	https://github.com/dfahlander/Dexie.js
estree-is-function@1.0.0	https://github.com/goto-bus-stop/estree-is-function
faye-websocket@0.11.3	https://github.com/faye/faye-websocket-node
get-assigned-identifiers@1.2.0	https://github.com/goto-bus-stop/get-assigned-identifiers
jasmine-spec-reporter@4.2.1	https://github.com/bcaudan/jasmine-spec-reporter
less@3.9.0	https://github.com/less/less.js
log4js@4.5.1	https://github.com/log4js-node/log4js-node
reflect-metadata@0.1.12	https://github.com/rbuckton/reflect-metadata
rx@4.1.0	https://github.com/Reactive-Extensions/RxJS
rxjs@6.5.2	https://github.com/reactivex/rxjs
scope-analyzer@2.0.5	https://github.com/goto-bus-stop/scope-analyzer
selenium-webdriver@3.6.0	https://github.com/SeleniumHQ/selenium
tslib@1.10.0	https://github.com/Microsoft/tslib
tslint@5.15.0	https://github.com/palantir/tslint
typescript@2.9.1	https://github.com/Microsoft/TypeScript
typescript@2.9.2	https://github.com/Microsoft/TypeScript
typescript@3.5.3	https://github.com/Microsoft/TypeScript
worker-plugin@3.1.0	https://github.com/GoogleChromeLabs/worker-plugin
esutils@2.0.2	https://github.com/estools/esutils
escodegen-wallaby@1.6.19	https://github.com/wallabyjs/escodegen
escodegen@1.2.0	https://github.com/Constellation/escodegen
esprima@1.0.4	https://github.com/ariya/esprima
estraverse@1.5.1	https://github.com/Constellation/estraverse
estraverse@1.9.3	https://github.com/estools/estraverse
esutils@1.0.0	https://github.com/Constellation/esutils
glob-to-regexp@0.3.0	https://github.com/fitzgen/glob-to-regexp
qs@2.3.3	https://github.com/hapijs/qs
regjsparser@0.1.5	https://github.com/jviereck/regjsparser
sax@0.5.8	https://github.com/isaacs/sax-js
source-map@0.1.43	https://github.com/mozilla/source-map
